genNo,genD_bus,genD_minUP,genD_minDN,genD_status,genD_Pmax,genD_Pmin,genC_Startup,genC_Cost,genC_NLoad,SPRamp,NSRamp,HRamp,StartRamp,gen_Style
1	,	1	,	8	,	4	,	1	,	152	,	15.2	,	1060.88	,	19.64	,	130.63	,	40	,	0	,	152	,	152	,	0
2	,	2	,	8	,	4	,	1	,	152	,	15.2	,	1060.88	,	19.64	,	130.63	,	40	,	0	,	152	,	152	,	0
3	,	5	,	1	,	1	,	1	,	40	,	15.8	,	75.85	,	163.02	,	1138.68	,	40	,	40	,	40	,	40	,	0
4	,	6	,	1	,	1	,	1	,	40	,	15.8	,	75.85	,	163.02	,	1138.68	,	40	,	40	,	40	,	40	,	0
5	,	7	,	8	,	8	,	1	,	300	,	25		,	4754.4	,	75.64	,	839.45	,	210	,	0	,	300	,	300	,	0
6	,	13	,	12	,	10	,	1	,	591	,	68.95	,	6510	,	74.75	,	1159.93	,	90	,	0	,	540	,	591	,	0
7	,	14	,	1	,	1	,	1	,	0	,	0		,	0		,	0		,	0		,	0	,	0	,	0	,	0	,	0
8	,	15	,	8	,	8	,	1	,	155	,	54.25	,	1696.34	,	15.46	,	252.67	,	30	,	0	,	155	,	155	,	0
9	,	16	,	8	,	8	,	1	,	155	,	54.25	,	1696.34	,	15.46	,	252.67	,	30	,	0	,	155	,	155	,	0
10	,	18	,	24	,	24	,	1	,	400	,	100		,	2400	,	5.46	,	215.08	,	200	,	0	,	400	,	400	,	0
11	,	20	,	24	,	24	,	1	,	350	,	140		,	7953.04	,	15.89	,	358.23	,	40	,	0	,	240	,	350	,	0
12	,	21	,	24	,	24	,	1	,	400	,	100		,	2400	,	5.46	,	215.08	,	200	,	0	,	400	,	400	,	0
13	,	22	,	1	,	1	,	1	,	300	,	0		,	0		,	0		,	0		,	300	,	300	,	300	,	300	,	0
14	,	23	,	8	,	8	,	1	,	310	,	54.25	,	1696.34	,	15.46	,	252.67	,	30	,	0	,	310	,	310	,	0
15	,	24	,	4	,	2	,	1	,	60	,	2.4		,	571.2	,	94.74	,	72.68	,	10	,	0	,	12	,	12	,	0
